,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1140,Austria,2001,0.005,0.105,40.455,0.0,0.057,-3.213,69.176,28.041,205.954,30.824,3.301,6.916,5.98,8.511
1664,Belgium,2001,0.0,0.037,0.441,46.349,0.0,2.301,1.367,0.0,57.854,39.678,-4.746,-0.051,-1.215,1.557
3956,Croatia,2001,0.0,0.0,7.18,0.0,0.0,10.542,56.227,0.0,0.0,43.773,11.319,3.816,4.785,2.477
5103,Estonia,2001,0.0,0.0,0.007,0.0,0.0,-0.649,0.212,0.0,7.902,99.788,-1.376,3.963,7.371,15.25
5605,Finland,2001,0.002,0.07,13.205,22.773,0.0,-8.476,28.999,0.0,1590.741,40.354,20.851,5.704,8.5,-1.896
5726,France,2001,0.006,0.131,74.267,421.076,0.12,11.097,14.256,62.905,47.976,8.522,-12.487,0.333,4.981,0.49
6115,Germany,2001,0.1,10.5,23.2,171.3,0.089,-0.036,6.701,44.16,63.84,63.866,0.286,2.023,5.455,1.307
6396,Greece,2001,0.0,0.756,2.097,0.0,0.0,-29.707,5.524,0.0,7.095,94.476,3.362,1.935,-1.312,1.577
7132,Hungary,2001,0.0,0.001,0.186,14.126,0.0,5.075,0.706,0.0,6.89,60.502,-4.986,3.504,10.913,-1.959
8031,Italy,2001,0.019,1.179,46.81,0.0,0.0,6.12,20.049,0.0,32.215,79.951,6.262,0.105,0.274,-0.801
8878,Lithuania,2001,0.0,0.0,0.326,11.362,0.0,-4.105,2.292,0.0,0.576,18.218,-9.209,9.613,3.992,15.143
10671,Netherlands,2001,0.012,0.825,0.117,3.976,0.0,10.013,3.535,0.0,146.576,92.209,6.462,3.817,2.019,4.841
11556,Norway,2001,0.01,0.027,119.258,0.0,0.0,-15.581,99.731,0.0,73.403,0.269,-10.886,6.216,-7.329,13.47
12805,Poland,2001,0.0,0.014,2.325,0.0,0.0,18.565,1.936,0.0,11.523,98.064,-1.178,-0.832,4.186,-2.307
12926,Portugal,2001,0.001,0.256,14.034,0.0,0.0,21.533,34.095,0.0,130.065,65.905,-14.487,-1.524,11.515,-0.154
14004,Slovakia,2001,0.0,0.0,4.927,17.103,0.0,9.383,15.961,0.0,28.593,30.317,3.384,2.053,6.785,-7.348
14554,Spain,2001,0.017,6.759,40.888,63.708,0.052,36.867,21.151,19.889,39.473,51.513,-8.445,2.364,7.759,4.399
14890,Sweden,2001,0.002,0.482,79.06,72.109,0.0,-0.432,51.561,0.0,424.477,3.815,8.365,2.972,12.823,1.72
14946,Switzerland,2001,0.012,0.004,40.895,25.47,0.0,11.298,61.731,0.0,255.049,1.484,4.506,6.531,4.083,7.02
